day,month,Cardnum_minmax,Merchnum_log,Merch description_log,Merch state_log,amount_log,Fraud
4,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.223766234383711,1
6,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.568892326876664,1
6,1,0.10728428144375357,8.670257584304563,9.309733124908089,5.3518586074096035,5.290084065754704,1
0,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,5.424862348440347,1
3,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.654771014443216,1
3,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.682158846813855,1
5,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.863218162768785,1
6,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.333777017742462,1
0,1,0.10728428144375357,8.670257584304563,9.309733124908089,5.3518586074096035,5.706911241622828,1
1,1,0.10728428144375357,8.670257584304563,9.309733124908089,5.3518586074096035,5.880281837547031,1
1,1,0.06885852377763513,8.993799984213277,9.365633264943861,5.347108006907831,3.5953953560070975,1
2,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,3.477852820551118,1
4,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.265244367015558,1
6,1,0.06885852377763513,8.92850783756886,9.391995048121327,5.347108006907831,3.228037726180585,1
0,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,5.715019436190889,1
1,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.05373510774129,1
4,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.887205674768152,1
5,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,5.975640250748584,1
0,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.503104988819649,1
1,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,5.6099482384443995,1
4,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,5.127707558696209,1
6,1,1.0,8.129469794256673,8.187855471496569,5.379897814369847,4.615319506942406,1
1,2,0.10728428144375357,8.670257584304563,9.309733124908089,5.3518586074096035,6.85981435910267,1
2,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.688616323559599,1
3,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,4.84008498353974,1
5,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.6355003931788294,1
1,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,3.982296922692128,1
1,2,0.10728428144375357,8.670257584304563,9.309733124908089,5.3518586074096035,6.839487251874871,1
2,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.48153133956041,1
3,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.505410447742915,1
6,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,4.969883436005273,1
1,2,0.10728428144375357,8.670257584304563,9.309733124908089,5.3518586074096035,6.025237998912559,1
2,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.808796561351082,1
3,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,-1.5136732904497212,1
6,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,5.900938181596054,1
0,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.378765854310117,1
3,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.408825452158327,1
4,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.6306967100918595,1
5,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.775069357417638,1
1,3,1.0,8.129469794256673,8.187855471496569,5.379897814369847,5.750984394105468,1
2,3,1.0,8.129469794256673,8.187855471496569,5.379897814369847,5.565286780250594,1
6,3,1.0,8.129469794256673,8.187855471496569,5.379897814369847,5.852030338522237,1
0,3,0.10728428144375357,8.670257584304563,9.309733124908089,5.3518586074096035,5.131968169756668,1
0,3,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.7518147817201575,1
3,3,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.14311231153987,1
4,3,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.715492592492684,1
6,3,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.38955267877782,1
2,3,1.0,8.129469794256673,8.187855471496569,5.379897814369847,3.8344959641441503,1
3,3,1.0,8.129469794256673,8.187855471496569,5.379897814369847,4.324531252301708,1
5,3,0.1418667852822182,8.180600975597809,8.155936366675034,5.38449552150458,8.215217476507593,1
5,3,0.1418667852822182,9.421168405666878,8.930361897140449,5.262690707039466,8.632614346694481,1
5,3,0.1418667852822182,9.460086912874909,8.97461805111334,5.308268192450587,8.653271854490935,1
5,3,0.1418667852822182,7.983440097112954,6.421622430408131,5.407172219890511,8.374592245882605,1
5,3,0.1418667852822182,8.585412449074495,8.004031541263991,5.2522739516067025,8.367952793067445,1
5,3,0.1418667852822182,7.48211897985842,9.000359819524794,5.176150297545421,8.40703900445333,1
