,0,1,2,3,4,5,6
0,0.99036217,0.9531359,0.1975342,0.99476546,0.9947238,0.9916337,0.99355066
1,0.99980116,0.9939256,0.11943313,0.99993104,0.9999477,0.9998784,0.99991494
2,0.9998766,0.99530846,0.11937736,0.99996376,0.9999734,0.99992895,0.9999493
3,0.92248213,0.8345379,0.31398043,0.9433527,0.94327736,0.9246561,0.9361519
4,0.99980617,0.9939922,0.11936381,0.99993324,0.99994934,0.9998816,0.9999169
5,0.9866997,0.94432086,0.21036913,0.9926863,0.99243265,0.9883723,0.99077314
6,0.9920311,0.9574877,0.19280395,0.99564093,0.99569196,0.9933687,0.99475235
7,0.9994015,0.98901075,0.13111313,0.999729,0.99978346,0.99958575,0.9997082
8,0.99675965,0.97546244,0.15997846,0.99849206,0.9984941,0.99750763,0.9980234
9,0.9972914,0.97631586,0.15887904,0.99864304,0.99872047,0.9977985,0.9983569
10,0.99983114,0.9944277,0.11891051,0.9999443,0.99995816,0.9998989,0.9999289
11,0.9968702,0.9762583,0.15749739,0.9986007,0.9985511,0.99747795,0.9980183
12,0.9938942,0.96402377,0.18192945,0.99682117,0.9968445,0.9949871,0.99607545
13,0.99944115,0.9896116,0.12925918,0.99975955,0.99980164,0.9996084,0.99972045
14,0.98161465,0.93298465,0.22495906,0.98959905,0.9890946,0.98369616,0.9868208
15,0.9998279,0.9943979,0.11889528,0.99994385,0.99995714,0.9998953,0.99992585
16,0.99585533,0.9705053,0.16998763,0.99787647,0.99794525,0.9965876,0.99741095
17,0.9998306,0.99443895,0.118871436,0.9999442,0.99995816,0.99989873,0.99992913
18,0.99976057,0.99331975,0.12037856,0.9999145,0.9999324,0.9998458,0.99988997
19,0.9889191,0.9483854,0.20476638,0.9937408,0.993764,0.9903564,0.9924958
20,0.99083024,0.9555985,0.19382116,0.9952296,0.9950717,0.99209553,0.9938585
21,0.99983805,0.9945645,0.11882438,0.99994755,0.9999606,0.99990326,0.9999319
22,0.99695253,0.9742187,0.16286667,0.99840313,0.9985295,0.99751574,0.99816996
23,0.99981076,0.9941036,0.11916365,0.99993676,0.99995095,0.99988234,0.99991626
24,0.9998048,0.9939746,0.11938015,0.99993265,0.9999489,0.99988073,0.9999164
