day,month,Cardnum_minmax,Merchnum_log,Merch description_log,Merch state_log,amount_log,Fraud
1,1,0.237393476503712,9.150696529663252,7.407317771149027,5.159055873927008,3.68135370658166,0
4,1,0.031108115585084306,8.512180669693196,8.432941660726696,5.379897814369847,1.286501649765528,0
0,1,0.11134993951600336,7.541152508214863,8.683554745566264,5.241747544160032,5.119191298736546,0
6,1,0.1575842559486773,8.129175026392925,9.021235874967068,5.2311091516138015,7.048386495602852,0
4,8,0.11874352451013692,6.9920965193276485,9.436519319809667,5.3518586074096035,7.855145412173192,1
4,5,0.21842130958066264,8.25166394968801,8.223627202629515,5.2522739516067025,6.969668575982265,1
6,6,0.001522926622783416,9.378816530397598,6.65027917795352,5.308268192450587,8.675730823054979,1
6,1,0.17213410433396348,9.273221279405936,7.225481545562496,5.3278766542263565,3.6470178568940086,0
0,8,0.04110952595328854,9.265964285183127,9.307739287035256,5.159055873927008,7.874434934423803,1
1,1,0.06942267112845002,6.800170179660768,8.550047547640775,5.176150297545421,1.609457912234103,0
0,1,0.15159561483869766,9.347141422189765,9.30173380953198,5.159055873927008,3.371772003852509,0
1,1,0.04016837628569192,8.536014965283911,4.962845329560362,5.398163154006339,7.656540598905741,0
0,1,0.1272084470210757,8.773229801514745,8.652423158146641,5.288267535744913,3.5216464898163986,0
1,1,0.0385776434914078,9.348710049948721,8.996280451781985,5.225747211347465,7.244227587031919,0
0,5,0.11894423077956162,9.45618431663161,8.578476438644271,5.398163154006339,6.786209033826807,1
0,5,0.11894423077956162,9.45618431663161,8.578476438644271,5.398163154006339,6.9027428376611,1
1,6,0.0972693098410673,9.478380811821443,8.362175492503201,5.176150297545421,7.772521152817843,1
1,1,0.0296204481710447,8.019283825822354,8.474285711281787,5.176150297545421,3.501347345944091,0
2,1,0.020931765292516502,9.13389121060725,6.885509772284301,5.398163154006339,7.693937371067357,0
3,7,0.0972693098410673,7.338238215085093,8.337109153508834,5.176150297545421,7.737210662009163,1
1,8,0.04110952595328854,9.265964285183127,9.307739287035256,5.159055873927008,6.7348533379795965,1
2,1,0.16094066146251862,8.027150139480506,9.461799242047093,5.3327192763570395,7.21890978087913,0
3,8,0.18951553846181923,9.369137392254876,9.071423084279804,5.38449552150458,6.715395628683986,1
0,1,0.19719933387204946,9.479680257818934,6.889591410187455,5.407172219890511,5.961469407184996,0
2,1,0.054234088603152486,9.479680257818934,8.016647910050214,5.347108006907831,5.360212240076586,0
5,7,0.0972693098410673,9.032648095510467,8.438582812469981,5.176150297545421,7.810364889651419,1
2,1,0.18104247921019123,8.365672407047045,9.272469752839344,5.187386364499817,6.003887314020089,0
1,1,0.07409316025496082,8.897272126810135,8.043984463324282,5.192957406445611,7.366445211538722,0
6,7,0.13837341130056302,9.371268044596,8.409608003008014,5.379897814369847,3.44330175358492,1
2,11,0.13125105099516077,9.370245898008049,8.41516048799948,5.379897814369847,5.408382249298453,1
4,8,0.1486596075919806,9.389573840530012,8.722580037427832,5.393628000897713,6.868733849970452,1
